run,temperature,latency_ms,tags,summary
1,0.7,3293.07,"[""grpc-security"", ""protobuf-vulnerability"", ""network-reflect:leak""]","Protobuf-java 3.21-3.25 reflects field names across package versions, enabling attackers to map internal authorization flags via error payloads."
2,0.7,3292.11,"[""grpc-security"", ""protobuf-vulnerability"", ""network-reflective-attack""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private field names, enabling attackers to map internal authorization flags via error payloads."
3,0.7,3045.56,"[""protobuf-java"", ""gRPC"", ""security-vulnerability""]","Protobuf-java 3.21-3.25 reflection leaks field names across package versions, enabling attackers to map internal authorization flags."
4,0.7,3119.13,"[""grpc-security"", ""protobuf-reflect"", ""network-vulnerability""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags."
5,0.7,3344.49,"[""gRPC security"", ""protobuf-java vulnerabilities"", ""network reflection leaks""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private field names, enabling attackers to map authorization flags via error payloads."
6,0.7,3312.33,"[""grpc-reflect"", ""protobuf-security"", ""network-using""]","gRPC reflection in protobuf-java 3.21-3:25 leaks field names across package versions, aiding attackers to map internal authorization flags via downstream error payloads"
7,0.7,4330.35,"[""grpc-security-vulnerabilities"", ""protobuf-reflect-uses"", ""network-privilege-escalation""]",gRPC reflection in older protobuf-java versions 3 21-3 25 leaks field names enabling attackers to map internal authorization flags via error payloads Patched with network
8,0.7,3630.73,"[""grpc-security"", ""protobuf-vulnerability"", ""network-reflectabke-leaks""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags."
9,0.7,3031.46,"[""grpc"", ""protobuf"", ""security_vulnerability""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags."
10,0.7,3221.69,"[""gRPC security"", ""protobuf vulnerabilities"", ""network reflection""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via downstream error payloads."
11,0.7,3127.01,"[""grpc-reflect"", ""protobuf-security"", ""network-privilege""]","gRPC reflection in protobuf: 3.21-3.25 exposes private field names, enabling attackers to map authorization flags via error payloads."
12,0.7,3131.06,"[""grpc-security"", ""protobuf-vulnerability"", ""network-exposure""]",gRPC reflection in protobuf-java 3.21-3.25 exposes private fields to attackers via error payloads.
13,0.7,3468.43,"[""gRPC security"", ""protobuf reflection"", ""network vulnerability""]","gRPC reflection in protobuf-java 3.21-3:25 leaks private field names, enabling attackers to map internal authorization flags via error payloads."
14,0.7,3597.08,"[""grpc-security"", ""protobuf-vulnerability"", ""network-reflective-leak""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private field names across package versions, enabling attackers to map internal authorization flags."
15,0.7,3243.94,"[""grpc-security"", ""protobuf-vulnerability"", ""reflection-leak""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private fields, enabling attackers to map authorization flags via error payloads."
16,0.7,3151.64,"[""grpc-security"", ""protobuf-vulnerability"", ""reflection-leak""]",gRPC reflection in protobuf-java 3.21-3:25 leaks private field names enabling attack mapping of internal authorization flags.
17,0.7,4477.1,"[""grpc-security"", ""protobuf-vulnerability"", ""network-reflective-leaks""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private field names, enabling attackers to map authorization flags via error payloads."
18,0.7,3080.5,"[""grpc-security"", ""protobuf-vulnerability"", ""network-isolation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private fields, enabling attackers to map authorization flags via error payloads."
19,0.7,3247.74,"[""grpc-security"", ""protobuf-vulnerability"", ""reflection-leak""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private field names across package versions, enabling attackers to map internal authorization flags."
20,0.7,3446.14,"[""grpc-security"", ""protobuf-upgrades"", ""reflection-leaks""]","gRPC reflection in protobuf-java 3.21-3.25 leaks private field names, aiding attackers to map authorization flags via error payloads."
1,0.0,3680.42,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
2,0.0,3626.36,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
3,0.0,3622.63,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
4,0.0,3743.48,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
5,0.0,3951.01,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
6,0.0,3767.62,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
7,0.0,3933.2,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
8,0.0,3734.42,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
9,0.0,3890.65,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
10,0.0,3770.0,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
11,0.0,3794.98,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
12,0.0,3698.07,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
13,0.0,3760.3,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
14,0.0,3780.99,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
15,0.0,3650.4,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
16,0.0,3614.03,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
17,0.0,3579.46,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
18,0.0,3591.29,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
19,0.0,3660.71,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
20,0.0,3638.29,"[""grpc-security"", ""protobuf-vulnerability"", ""network-using-privilege-escalation""]","gRPC reflection in protobuf-java 3.21-3.25 leaks field names across package versions, enabling attackers to map internal authorization flags via error payloads."
