run,turn_ceiling,latency_ms,planner_attempts,status,classification,tags,summary,validation_error,reviewer_feedback
1,10,846.73,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
2,10,870.18,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL version flaw enables bypassing certificate checks, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
3,10,856.38,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL vulnerability enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
4,10,855.03,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
5,10,806.23,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
6,10,805.69,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
7,10,841.86,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
8,10,794.27,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
9,10,795.04,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
10,10,866.0,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation and intercepting encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
11,10,852.56,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
12,10,851.55,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
13,10,848.83,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
14,10,866.29,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL version vulnerability enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
15,10,859.68,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
16,10,852.0,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
17,10,843.62,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
18,10,866.36,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","Vulnerable OpenSSL version enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
19,10,841.57,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
20,10,792.93,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
