run,turn_ceiling,latency_ms,planner_attempts,status,classification,tags,summary,validation_error,reviewer_feedback
1,10,1048.37,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
2,10,888.07,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
3,10,844.62,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
4,10,847.25,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
5,10,888.88,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
6,10,881.74,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL version flaw enables bypassing certificate checks, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
7,10,860.07,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
8,10,833.52,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
9,10,908.44,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL vulnerability enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
10,10,846.37,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
11,10,866.25,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version flaw enables attackers to bypass certificate checks and intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
12,10,861.87,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
13,10,796.24,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
14,10,850.74,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]","OpenSSL vulnerability enables bypassing certificate validation, risking encrypted traffic interception.",,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
15,10,844.3,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
16,10,847.4,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL version vulnerability enables bypassing certificate validation for intercepted encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
17,10,845.24,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
18,10,790.05,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
19,10,795.64,1,completed,Valid first attempt,"[""openssl vulnerability"", ""certificate validation"", ""network traffic interception""]",OpenSSL vulnerability enables bypassing certificate validation to intercept encrypted traffic.,,"{""approved"": true, ""feedback"": ""Tags are relevant and summary is factual and concise.""}"
